
ID,name,accountNumber
9a3b61c1-1c01-4e11-a001-000000000001,Acme Corporation,ACC-10001
9a3b61c1-1c02-4e11-a002-000000000002,Bluewave Solutions,ACC-10002
9a3b61c1-1c03-4e11-a003-000000000003,Nordic Retail Group,ACC-10003
9a3b61c1-1c04-4e11-a004-000000000004,GreenTech Innovations,ACC-10004
9a3b61c1-1c05-4e11-a005-000000000005,Atlas Logistics,ACC-10005
9a3b61c1-1c06-4e11-a006-000000000006,Orion Healthcare,ACC-10006
9a3b61c1-1c07-4e11-a007-000000000007,Finova Banking Group,ACC-10007
9a3b61c1-1c08-4e11-a008-000000000008,Aurora Telecom,ACC-10008
9a3b61c1-1c09-4e11-a009-000000000009,Mercury Manufacturing,ACC-10009
9a3b61c1-1c10-4e11-a010-000000000010,Skyline Media,ACC-10010
